city,latitude,longitude,areaCode
Charlotte,35.26,-80.8042,704
Winston Salem,36.0864,-80.2636,336
Charlotte,35.26,-80.8042,704
Waxhaw,34.9273,-80.7278,704
Zirconia,35.2003,-82.4937,828
Mooresville,35.5783,-80.8294,704
Salisbury,35.6744,-80.4803,704
Greensboro,36.1824,-79.8067,336
Matthews,35.0748,-80.6774,704
Charlotte,35.1954,-80.8254,704
Charlotte,35.1338,-81.006,704
Tobaccoville,36.2393,-80.3968,336
Sanford,35.4414,-79.1693,919
Olivia,35.3587,-79.1088,919
Charlotte,35.206,-80.829,704
Charlotte,35.206,-80.829,704
Huntersville,35.4034,-80.8611,704
Raleigh,35.8278,-78.6421,919
Concord,35.3665,-80.5215,704
Charlotte,35.206,-80.829,704
Kannapolis,35.4973,-80.6755,704
Harrisburg,35.2984,-80.6443,704
Mount Pleasant,35.3874,-80.4067,704
China Grove,35.5735,-80.6012,704
Mayodan,36.4534,-80.0066,336
Concord,35.3932,-80.5981,704
Oakboro,35.2361,-80.3098,704
Winston Salem,36.0275,-80.2073,704
Kernersville,36.1172,-80.0765,336
Charlotte,35.206,-80.829,704
Greensboro,36.0844,-79.8209,336
Greenville,35.6056,-77.2335,252
La Grange,35.3448,-77.7659,252
Apex,35.6761,-78.816,919
Charlotte,35.206,-80.829,704
Asheville,35.5912,-82.546,828
Beaufort,34.8481,-76.6115,252
Durham,35.9925,-78.9017,919
High Point,35.9587,-80.0073,336
Elizabeth City,36.317,-76.2754,252
Winston Salem,36.0864,-80.2636,336
Spring Hope,35.9488,-78.1001,252
Wilmington,34.2321,-77.8835,910
High Point,35.9563,-79.9929,336
Grover,35.2043,-81.4817,704
Durham,35.9925,-78.9017,919
Brevard,35.1698,-82.7897,828
Cary,35.7821,-78.8177,919
Winston Salem,36.0275,-80.2073,704
Durham,35.997,-78.9422,919
Charlotte,35.206,-80.829,704
Skyland,35.482,-82.5239,828
Greensboro,36.0844,-79.8209,336
Troutman,35.6822,-80.8663,704
Wrightsville Beach,34.217,-77.7896,910
Dunn,35.2763,-78.5468,910
Asheville,35.6237,-82.6671,828
Raleigh,35.8278,-78.6421,919
Wilmington,34.2321,-77.8835,910
Castle Hayne,34.3369,-77.8992,910
High Point,35.9587,-80.0073,336
Durham,35.9925,-78.9017,919
Wilmington,34.0881,-77.8526,910
Raeford,34.9874,-79.232,910
Elizabeth City,36.3171,-76.2754,252
Franklinton,36.1146,-78.4688,919
Swepsonville,36.0341,-79.3684,336
Raleigh,35.8278,-78.6421,919
Gastonia,35.2326,-81.1766,704
Moncure,35.6529,-79.1366,919
Wilson,35.7338,-77.9485,252
Fayetteville,35.057,-79.0147,910
Raleigh,35.7977,-78.6253,919
Wake Forest,35.9767,-78.5544,919
Swannanoa,35.6271,-82.3936,828
Belmont,35.2178,-81.0394,704
Mars Hill,35.8813,-82.5134,828
Trenton,35.0449,-77.4214,252
Pinetown,35.6026,-76.7382,252
Elm City,35.7992,-77.8451,252
Ennice,36.5227,-80.9668,336
Goldston,35.5672,-79.3621,919
Greensboro,36.0844,-79.8209,336
Lincolnton,35.4761,-81.254,704
Vanceboro,35.3099,-77.1821,252
Ahoskie,36.2868,-77.018,252
Kinston,35.2157,-77.5764,252
Williamston,35.812,-77.0488,252
Dobson,36.3786,-80.63,336
Engelhard,35.4599,-76.0697,252
Grantsboro,35.0825,-76.8702,252
Manteo,35.8971,-75.6826,252
Kenly,35.6099,-78.1506,919
Colfax,36.0968,-80.0027,336
Nashville,36.031,-77.9848,252
Goldsboro,35.3669,-77.9985,919
Greensboro,36.0617,-79.8234,336
Littleton,36.3919,-77.8665,252
Wake Forest,35.9767,-78.5544,919
New Bern,35.1523,-77.0607,252
Lucama,35.6431,-78.0269,252
Enka,35.5414,-82.6436,828
Graham,35.9665,-79.345,336
Fountain,35.6942,-77.6294,252
Kitty Hawk,36.1361,-75.7371,252
Creedmoor,36.1052,-78.6868,919
Charlotte,35.2262,-80.8431,704
Greensboro,36.0844,-79.8209,336
Warrenton,36.3734,-78.1039,252
Durham,36.0924,-78.901,919
Raleigh,35.8278,-78.6421,919
Catawba,35.6758,-81.0421,828
Hertford,36.1979,-76.3511,252
Whiteville,34.2926,-78.6759,910
Sparta,36.4827,-81.1506,336
Kannapolis,35.4934,-80.5691,704
Alliance,35.1467,-76.7992,252
Bryson City,35.3749,-83.4598,828
Shelby,35.2398,-81.5847,704
Nags Head,35.885,-75.5911,252
Halifax,36.3005,-77.5592,252
Erwin,35.2997,-78.7167,910
Lincolnton,35.4761,-81.254,704
Marshall,35.902,-82.6869,828
Carthage,35.3593,-79.4354,910
Jackson,36.3705,-77.4357,252
Lumberton,34.6797,-79.0899,910
Danbury,36.4537,-80.2165,336
Plymouth,35.8144,-76.7201,252
Camden,36.3603,-76.1545,252
Candor,35.2583,-79.811,910
Windsor,35.9913,-76.9417,252
Winton,36.3961,-76.9342,252
Newell,35.2768,-80.7165,704
Bunn,35.9578,-78.2472,919
Creswell,35.8329,-76.4152,252
Bayboro,35.1474,-76.7501,252
Wilson,35.7876,-77.9844,252
Havelock,34.9008,-76.8262,252
Lake Waccamaw,34.3216,-78.4995,910
Mount Gilead,35.227,-79.9621,910
Ellerbe,35.091,-79.7417,910
Holly Springs,35.6022,-78.8786,919
Charlotte,35.26,-80.8042,910
Greensboro,36.0844,-79.8209,336
Charlotte,35.26,-80.8042,704
Raleigh,35.7977,-78.6253,919
Scotland Neck,36.1392,-77.4102,252
Columbia,35.8335,-76.1961,252
Haw River,36.0539,-79.3494,336
Hamlet,34.8769,-79.6676,910
Walnut Cove,36.3178,-80.1813,336
Currituck,36.4249,-75.9707,252
Moyock,36.4726,-76.1579,252
Poplar Branch,36.2508,-75.9137,252
Maple,36.4195,-76.0303,252
Robbinsville,35.3414,-83.814,828
Bridgeton,35.1221,-77.0201,252
Swanquarter,35.4143,-76.2658,252
Dublin,34.657,-78.7286,910
Kure Beach,33.9904,-77.9207,910
Rowland,34.5609,-79.272,910
Eagle Springs,35.3314,-79.6282,910
Manns Harbor,35.829,-75.7715,252
Morganton,35.7612,-81.728,828
Tar Heel,34.746,-78.7907,910
Wendell,35.7877,-78.3905,919
Charlotte,35.206,-80.829,704
Whitakers,36.0865,-77.7412,252
Morrisville,35.8601,-78.8326,919
Charlotte,35.2275,-80.8425,704
Rocky Mount,35.9025,-77.8735,252
Brasstown,35.0284,-83.952,828
Elkin,36.3177,-80.7772,336
Fayetteville,35.0552,-78.9114,910
Garner,35.6461,-78.5791,919
Camp Lejeune,34.6403,-77.3043,910
Rex,34.8535,-79.05,910
Granite Falls,35.8362,-81.3861,828
Elizabeth City,36.3171,-76.2754,252
Raleigh,35.8278,-78.6421,919
Monroe,34.901,-80.5409,704
Huntersville,35.4034,-80.8611,704
Tillery,36.2543,-77.4876,252
Supply,34.0245,-78.2942,910
Charlotte,35.26,-80.8042,704
